rain_all;rain_00_06;rain_06_12;rain_12_18;rain_18_24;new_date
29634.300000000003;6141.500000000002;6955.300000000001;9319.200000000006;8591.2;2013-05-01
21886.199999999997;5392.100000000004;5400.100000000002;5654.400000000002;6314.100000000002;2013-06-01
12508.8;1863.3;801.9;3005.9999999999995;7135.499999999999;2013-07-01
13331.800000000003;2288.6999999999994;2483.6;3927.2999999999993;5233.9000000000015;2013-08-01
23053.800000000003;4188.299999999999;4840.299999999999;6940.100000000005;8206.900000000003;2013-09-01
41866.99999999999;11322.000000000007;10506.400000000003;11091.999999999998;10385.900000000007;2013-10-01
43964.00000000001;11560.000000000004;12931.500000000005;10595.5;10314.600000000006;2013-11-01
47036.30000000002;10889.2;14196.499999999998;12830.699999999993;10776.1;2013-12-01
63607.49999999999;16789.9;16384.70000000001;15284.199999999999;17099.00000000001;2014-01-01
56920.7;13678.0;14068.700000000006;15265.600000000002;15400.300000000003;2014-02-01
33326.6;7467.1;8290.9;10200.1;9501.300000000005;2014-03-01
33349.40000000001;7844.800000000006;7925.300000000004;9386.200000000004;10428.900000000001;2014-04-01
23181.60000000001;6451.699999999998;5798.900000000002;5908.499999999998;6015.9000000000015;2014-05-01
18907.300000000003;3522.999999999999;2589.1000000000004;5708.599999999999;7894.500000000001;2014-06-01
16660.600000000006;4280.799999999999;3972.500000000001;5130.700000000001;5792.7;2014-07-01
14197.8;2861.7000000000003;2442.2000000000003;4012.200000000002;5777.099999999999;2014-08-01
36017.99999999999;7733.800000000003;6521.200000000004;11104.900000000007;12642.300000000005;2014-09-01
32172.199999999986;8856.100000000006;8543.600000000002;9123.0;9135.5;2014-10-01
70399.9;24350.899999999994;23289.500000000007;17275.800000000003;21271.20000000001;2014-11-01
32022.4;8726.300000000001;7997.999999999999;8795.4;9613.400000000001;2014-12-01
41590.499999999985;9926.200000000006;10432.10000000001;12049.00000000001;11776.300000000005;2015-01-01
42294.09999999999;11137.10000000001;10626.500000000002;11811.000000000002;10619.000000000002;2015-02-01
28391.80000000001;9206.000000000005;9820.900000000005;10437.7;9223.800000000003;2015-03-01
26419.200000000004;4730.400000000001;6326.799999999999;8310.199999999995;8295.2;2015-04-01
13357.4;3830.7999999999993;3088.0999999999985;2970.199999999999;3748.0000000000005;2015-05-01
24295.7;3704.6;3839.3000000000015;8787.600000000002;8517.100000000004;2015-06-01
11902.800000000001;2301.9999999999995;2352.0000000000014;3443.9000000000005;5076.999999999999;2015-07-01
19935.100000000002;4544.5;2974.6999999999994;4912.400000000001;8355.0;2015-08-01
33056.399999999994;8752.1;7977.300000000005;8657.300000000001;8990.3;2015-09-01
41502.0;12797.100000000002;13021.800000000005;13659.40000000001;13036.800000000005;2015-10-01
20993.200000000004;8880.300000000005;7924.100000000002;8654.800000000003;5910.9;2015-11-01
8747.3;2283.9999999999995;2428.1;2923.2999999999997;3421.500000000001;2015-12-01
49461.79999999999;13720.099999999995;13925.900000000003;15417.50000000001;13149.199999999999;2016-01-01
68982.59999999996;16229.200000000012;17693.000000000015;19354.7;16745.399999999998;2016-02-01
48576.899999999994;11453.2;13864.500000000004;12747.700000000008;11331.600000000004;2016-03-01
58586.60000000001;11770.600000000002;16231.800000000005;17996.60000000001;13569.499999999993;2016-04-01
48277.69999999998;9361.000000000002;11086.800000000003;14527.000000000004;14182.800000000007;2016-05-01
12282.5;1779.399999999999;1757.199999999999;4532.000000000001;4415.1;2016-06-01
8303.100000000002;2307.0;1294.9999999999998;1524.0999999999997;3346.0999999999985;2016-07-01
5660.699999999997;1024.5;1553.8000000000004;1334.3999999999996;1806.2999999999997;2016-08-01
20019.000000000004;4174.000000000002;3441.199999999999;5866.000000000002;6738.800000000002;2016-09-01
38331.200000000004;10755.200000000008;8806.20000000001;8449.000000000007;10823.199999999999;2016-10-01
74657.3;17643.90000000001;20172.200000000008;20539.1;17039.300000000017;2016-11-01
40246.50000000001;11621.200000000006;10754.800000000003;8669.900000000003;9680.300000000005;2016-12-01
38400.29999999999;9024.700000000003;10408.9;9323.400000000001;10161.200000000003;2017-01-01
50214.399999999994;14199.900000000005;12870.400000000001;11207.200000000008;12924.000000000007;2017-02-01
43374.79999999998;9752.000000000002;10236.199999999999;11810.6;12201.5;2017-03-01
19736.399999999994;5038.000000000001;5669.700000000003;5070.6;4171.200000000001;2017-04-01
16237.999999999995;2202.2;4094.100000000001;4972.7;5159.300000000001;2017-05-01
23121.400000000005;4484.1;4838.7000000000035;6202.500000000001;7796.300000000001;2017-06-01
13014.300000000008;2153.4;2426.699999999999;4347.699999999999;4296.7;2017-07-01
20654.399999999998;4081.5;3558.599999999999;6431.7000000000035;6916.600000000003;2017-08-01
17328.999999999996;4446.7;4537.199999999999;4754.100000000003;3751.8999999999996;2017-09-01
18820.199999999983;4849.4000000000015;5537.800000000005;4975.000000000001;3661.099999999999;2017-10-01
36033.6;9714.200000000003;8442.599999999997;7719.300000000003;10380.100000000004;2017-11-01
54357.399999999994;15074.799999999996;13938.500000000004;12639.800000000003;13371.699999999993;2017-12-01
50999.60000000001;11768.800000000001;13418.700000000006;13992.300000000007;12200.100000000006;2018-01-01
58450.3;11652.100000000002;14823.099999999997;18041.700000000004;14654.400000000005;2018-02-01
102025.99999999997;23420.300000000007;25285.300000000007;28059.50000000001;26929.100000000006;2018-03-01
60092.49999999997;14305.5;12576.200000000006;16327.100000000008;17446.30000000001;2018-04-01
42106.10000000002;7781.700000000003;6800.1;13933.000000000002;14194.800000000005;2018-05-01
34203.299999999996;6657.399999999999;6270.900000000001;10628.7;11041.500000000004;2018-06-01
16561.40000000001;2762.5999999999995;2897.8999999999996;4817.599999999999;6240.4;2018-07-01
14669.900000000005;2365.9;1757.9;4890.699999999999;6025.2;2018-08-01
